,sub,Hue Angle,Prior
0,s1,0.0001,1.6412232240522604e-05
1,s1,2.0001,2.0171670910817384e-05
2,s1,4.0001,2.4881721110046006e-05
3,s1,6.0001,3.0782902909805534e-05
4,s1,8.0001,3.817437380437122e-05
5,s1,10.0001,4.7427015120846075e-05
6,s1,12.0001,5.899895898082325e-05
7,s1,14.0001,7.345383640987753e-05
8,s1,16.0001,9.148199519980503e-05
9,s1,18.0001,0.0001139248738322257
10,s1,20.0001,0.0001418026162282367
11,s1,22.0001,0.00017634486164400294
12,s1,24.0001,0.00021902443495320844
13,s1,26.0001,0.0002715933859829844
14,s1,28.0001,0.0003361204758280163
15,s1,30.0001,0.00041502878037000593
16,s1,32.0001,0.0005111315797147968
17,s1,34.0001,0.0006276641382827683
18,s1,36.0001,0.000768308375781535
19,s1,38.0001,0.000937206818912345
20,s1,40.0001,0.001138961656361924
21,s1,42.0001,0.0013786142591617077
22,s1,44.0001,0.0016616002523508193
23,s1,46.0001,0.001993675220147458
24,s1,48.0001,0.0023808064885343806
25,s1,50.0001,0.0028290272458298036
26,s1,52.0001,0.0033442506083993678
27,s1,54.0001,0.003932043162288361
28,s1,56.0001,0.004597360017097539
29,s1,58.0001,0.0053442464445425395
30,s1,60.0001,0.006175514621716435
31,s1,62.0001,0.0070924076645449245
32,s1,64.0001,0.008094266752799976
33,s1,66.0001,0.00917822038280735
34,s1,68.0001,0.010338917262643769
35,s1,70.0001,0.011568325699948876
36,s1,72.0001,0.012855622165558443
37,s1,74.0001,0.014187189762888108
38,s1,76.0001,0.015546743431576561
39,s1,78.0001,0.016915592867165173
40,s1,80.0001,0.018273046544178034
41,s1,82.0001,0.019596951291967805
42,s1,84.0001,0.020864352189840393
43,s1,86.0001,0.0220522478760302
44,s1,88.0001,0.023138407554531056
45,s1,90.0001,0.024102208897640136
46,s1,92.0001,0.02492545146249794
47,s1,94.0001,0.025593098774556435
48,s1,96.0001,0.026093904231569195
49,s1,98.0001,0.0264208814870996
50,s1,100.0001,0.026571588684630203
51,s1,102.0001,0.026548207212342693
52,s1,104.0001,0.026357408646771423
53,s1,106.0001,0.02601001718215198
54,s1,108.0001,0.02552048796174814
55,s1,110.0001,0.024906233246222525
56,s1,112.0001,0.024186837341911765
57,s1,114.0001,0.023383206992513172
58,s1,116.0001,0.022516706150720194
59,s1,118.0001,0.0216083226706371
60,s1,120.0001,0.02067790980015157
61,s1,122.0001,0.0197435379812447
62,s1,124.0001,0.01882098315875646
63,s1,126.0001,0.01792336743286813
64,s1,128.0001,0.01706095735669562
65,s1,130.0001,0.016241115292024606
66,s1,132.0001,0.015468390664298398
67,s1,134.0001,0.014744731185449013
68,s1,136.0001,0.014069789415468438
69,s1,138.0001,0.0134412974828506
70,s1,140.0001,0.012855482272732366
71,s1,142.0001,0.012307494670156563
72,s1,144.0001,0.011791829167356164
73,s1,146.0001,0.011302713909626973
74,s1,148.0001,0.010834455655720047
75,s1,150.0001,0.01038172878190497
76,s1,152.0001,0.00993980202995285
77,s1,154.0001,0.009504700919691238
78,s1,156.0001,0.00907330741999754
79,s1,158.0001,0.008643401473050396
80,s1,160.0001,0.008213651235623553
81,s1,162.0001,0.007783560434259287
82,s1,164.0001,0.007353382068880747
83,s1,166.0001,0.0069240079152218595
84,s1,168.0001,0.00649684296558596
85,s1,170.0001,0.006073673217051129
86,s1,172.0001,0.005656534177105928
87,s1,174.0001,0.005247586216501951
88,s1,176.0001,0.0048490015572609695
89,s1,178.0001,0.004462866327676016
90,s1,180.0001,0.004091099818751316
91,s1,182.0001,0.003735391895032504
92,s1,184.0001,0.003397158488322969
93,s1,186.0001,0.003077514260984449
94,s1,188.0001,0.0027772608777448266
95,s1,190.0001,0.0024968888700949545
96,s1,192.0001,0.0022365908041115587
97,s1,194.0001,0.0019962833517200335
98,s1,196.0001,0.0017756358924737982
99,s1,198.0001,0.0015741034103474412
100,s1,200.0001,0.0013909616694440428
101,s1,202.0001,0.0012253429264946526
102,s1,204.0001,0.0010762707415627527
103,s1,206.0001,0.0009426927598391199
104,s1,208.0001,0.0008235106391985559
105,s1,210.0001,0.0007176065768844562
106,s1,212.0001,0.0006238661350131828
107,s1,214.0001,0.0005411972730636479
108,s1,216.0001,0.00046854566393860397
109,s1,218.0001,0.0004049064990335866
110,s1,220.0001,0.0003493330795462946
111,s1,222.0001,0.00030094254993920453
112,s1,224.0001,0.00025891915981727197
113,s1,226.0001,0.0002225154476528451
114,s1,228.0001,0.00019105172891164862
115,s1,230.0001,0.00016391424702519734
116,s1,232.0001,0.0001405523126257735
117,s1,234.0001,0.00012047471819624813
118,s1,236.0001,0.00010324567480557659
119,s1,238.0001,8.848047725629375e-05
120,s1,240.0001,7.58410655009284e-05
121,s1,242.0001,6.503161478141269e-05
122,s1,244.0001,5.579425533776172e-05
123,s1,246.0001,4.7904995072616415e-05
124,s1,248.0001,4.116989530911611e-05
125,s1,250.0001,3.542153059044961e-05
126,s1,252.0001,3.0515748044278987e-05
127,s1,254.0001,2.632872978870669e-05
128,s1,256.0001,2.2754352758751916e-05
129,s1,258.0001,1.9701833743202766e-05
130,s1,260.0001,1.709364291522631e-05
131,s1,262.0001,1.4863666320875682e-05
132,s1,264.0001,1.2955596302871818e-05
133,s1,266.0001,1.1321528373323815e-05
134,s1,268.0001,9.920743345312125e-06
135,s1,270.0001,8.718654371056666e-06
136,s1,272.0001,7.68589973652965e-06
137,s1,274.0001,6.797563688456928e-06
138,s1,276.0001,6.0325091112329e-06
139,s1,278.0001,5.372807446959583e-06
140,s1,280.0001,4.8032528025940385e-06
141,s1,282.0001,4.310948673176308e-06
142,s1,284.0001,3.884957102800858e-06
143,s1,286.0001,3.5160013900259066e-06
144,s1,288.0001,3.1962146148586096e-06
145,s1,290.0001,2.9189273196103654e-06
146,s1,292.0001,2.678488619538376e-06
147,s1,294.0001,2.470115858114177e-06
148,s1,296.0001,2.289768664860503e-06
149,s1,298.0001,2.1340439311362012e-06
150,s1,300.0001,2.0000888019563752e-06
151,s1,302.0001,1.8855293013000268e-06
152,s1,304.0001,1.7884126760803078e-06
153,s1,306.0001,1.7071619720450957e-06
154,s1,308.0001,1.6405417557898815e-06
155,s1,310.0001,1.5876342839410218e-06
156,s1,312.0001,1.547825807601183e-06
157,s1,314.0001,1.520803103077272e-06
158,s1,316.0001,1.5065607566365184e-06
159,s1,318.0001,1.50542022239238e-06
160,s1,320.0001,1.51806224311461e-06
161,s1,322.0001,1.5455749034954253e-06
162,s1,324.0001,1.5895204102462432e-06
163,s1,326.0001,1.652024707348618e-06
164,s1,328.0001,1.735895291628107e-06
165,s1,330.0001,1.8447741592437425e-06
166,s1,332.0001,1.983334767608232e-06
167,s1,334.0001,2.1575343363524336e-06
168,s1,336.0001,2.374935851242991e-06
169,s1,338.0001,2.645117914267271e-06
170,s1,340.0001,2.980195263028912e-06
171,s1,342.0001,3.3954785496650987e-06
172,s1,344.0001,3.9103090346578e-06
173,s1,346.0001,4.54911244662572e-06
174,s1,348.0001,5.342726632800681e-06
175,s1,350.0001,6.33007002678627e-06
176,s1,352.0001,7.560232624709554e-06
177,s1,354.0001,9.095088277726663e-06
178,s1,356.0001,1.1012546782309575e-05
179,s1,358.0001,1.3410586442747752e-05
0,s2,0.0001,0.01105727256464082
1,s2,2.0001,0.011593571958529753
2,s2,4.0001,0.012107989453154947
3,s2,6.0001,0.012594744453671322
4,s2,8.0001,0.013048133337709935
5,s2,10.0001,0.01346264518830298
6,s2,12.0001,0.01383307894121103
7,s2,14.0001,0.014154658341861982
8,s2,16.0001,0.01442314099941733
9,s2,18.0001,0.014634917877035965
10,s2,20.0001,0.014787099773494848
11,s2,22.0001,0.01487758772789523
12,s2,24.0001,0.014905124802684931
13,s2,26.0001,0.01486932734814649
14,s2,28.0001,0.014770694593559435
15,s2,30.0001,0.014610596210194343
