,sub,Hue Angle,Prior
0,s1,0.0001,4.395985289366777e-05
1,s1,2.0001,5.119594677304883e-05
2,s1,4.0001,5.974308500809838e-05
3,s1,6.0001,6.984428401326243e-05
4,s1,8.0001,8.17867084192384e-05
5,s1,10.0001,9.590910495400633e-05
6,s1,12.0001,0.00011261028115724578
7,s1,14.0001,0.00013235871170015392
8,s1,16.0001,0.00015570334126673057
9,s1,18.0001,0.00018328563097679457
10,s1,20.0001,0.00021585286325499523
11,s1,22.0001,0.00025427267578738796
12,s1,24.0001,0.00029954873661283037
13,s1,26.0001,0.00035283739739697985
14,s1,28.0001,0.00041546506870889345
15,s1,30.0001,0.0004889459483245299
16,s1,32.0001,0.0005749996006511363
17,s1,34.0001,0.000675567732850211
18,s1,36.0001,0.0007928293431844744
19,s1,38.0001,0.0009292132334882414
20,s1,40.0001,0.0010874066867424031
21,s1,42.0001,0.0012703589214888348
22,s1,44.0001,0.001481277759157136
23,s1,46.0001,0.001723617793268163
24,s1,48.0001,0.002001058248826282
25,s1,50.0001,0.0023174686864271526
26,s1,52.0001,0.0026768607608153978
27,s1,54.0001,0.0030833244104497
28,s1,56.0001,0.0035409471545286425
29,s1,58.0001,0.004053715625097854
30,s1,60.0001,0.0046253990767835635
31,s1,62.0001,0.005259415399469829
32,s1,64.0001,0.005958681102840416
33,s1,66.0001,0.006725447825546356
34,s1,68.0001,0.007561129109751411
35,s1,70.0001,0.008466122421376397
36,s1,72.0001,0.00943963261871837
37,s1,74.0001,0.01047950419409564
38,s1,76.0001,0.011582070540848836
39,s1,78.0001,0.012742029132221989
40,s1,80.0001,0.013952351742077086
41,s1,82.0001,0.015204238603240255
42,s1,84.0001,0.01648712462048368
43,s1,86.0001,0.01778874439369738
44,s1,88.0001,0.01909526086197859
45,s1,90.0001,0.020391459893949183
46,s1,92.0001,0.021661010213057882
47,s1,94.0001,0.02288678479434011
48,s1,96.0001,0.024051236477337878
49,s1,98.0001,0.025136817216085808
50,s1,100.0001,0.026126427356193575
51,s1,102.0001,0.027003878816592705
52,s1,104.0001,0.02775435426672988
53,s1,106.0001,0.02836484349905536
54,s1,108.0001,0.02882453831760799
55,s1,110.0001,0.029125168444903857
56,s1,112.0001,0.02926126316429033
57,s1,114.0001,0.029230326559526558
58,s1,116.0001,0.029032918112142217
59,s1,118.0001,0.028672634835249462
60,s1,120.0001,0.02815599578355323
61,s1,122.0001,0.027492234387332976
62,s1,124.0001,0.02669300832142593
63,s1,126.0001,0.02577204027470387
64,s1,128.0001,0.02474470581560144
65,s1,130.0001,0.02362758640376001
66,s1,132.0001,0.02243800639993164
67,s1,134.0001,0.021193572676349297
68,s1,136.0001,0.019911734201580166
69,s1,138.0001,0.0186093769045289
70,s1,140.0001,0.017302466397290012
71,s1,142.0001,0.016005747972057106
72,s1,144.0001,0.01473250991084917
73,s1,146.0001,0.013494412779145128
74,s1,148.0001,0.012301384213563991
75,s1,150.0001,0.011161575922271304
76,s1,152.0001,0.010081377314389713
77,s1,154.0001,0.009065478434165929
78,s1,156.0001,0.008116973723800108
79,s1,158.0001,0.007237497560822815
80,s1,160.0001,0.006427382462255304
81,s1,162.0001,0.005685831243205431
82,s1,164.0001,0.005011095170279884
83,s1,166.0001,0.004400651161166011
84,s1,168.0001,0.0038513722527084675
85,s1,170.0001,0.0033596867999752932
86,s1,172.0001,0.0029217230996528274
87,s1,174.0001,0.002533437289365258
88,s1,176.0001,0.002190723413444078
89,s1,178.0001,0.0018895054348334554
90,s1,180.0001,0.0016258116967052686
91,s1,182.0001,0.0013958328932441519
92,s1,184.0001,0.0011959650044011238
93,s1,186.0001,0.0010228388990972384
94,s1,188.0001,0.0008733384350951634
95,s1,190.0001,0.000744608903721912
96,s1,192.0001,0.0006340576065147436
97,s1,194.0001,0.0005393482303770902
98,s1,196.0001,0.00045839052762049746
99,s1,198.0001,0.0003893266242661496
100,s1,200.0001,0.0003305150880980435
101,s1,202.0001,0.0002805136980581337
102,s1,204.0001,0.00023806167663036678
103,s1,206.0001,0.0002020619822837473
104,s1,208.0001,0.00017156411305853565
105,s1,210.0001,0.0001457477464391527
106,s1,212.0001,0.00012390743485440794
107,s1,214.0001,0.00010543848958368966
