,Hue Angle,PSE,JND,PSE_err,JND_err,condition,subject,trialN
8,22.5,-0.6134462623487758,6.48585616238633,0.3763896547635072,0.7086866214195892,HH,s1,240
8,22.5,-1.631312005517674,19.90530623326572,1.7370188098078096,4.466862540692584,HH,s2,240
8,22.5,-1.7735121509540945,7.714372021240741,0.5906055719100831,1.0104889147186813,HH,s3,240
8,22.5,0.42800026553518833,11.914025310022096,0.9448288976680742,1.954205150016797,HH,s4,240
8,22.5,0.00023134118997423516,9.110568485930465,0.5512144838545395,1.0311828789184554,HH,s5,240
8,22.5,-0.4201383775363003,15.012855370685068,1.113500047431151,2.803433489270321,HH,s6,240
16,22.5,-6.495166101111307,4.951602075109035,0.6335107284160453,0.628725318437994,LH,s1,240
16,22.5,-0.6478696256795416,9.149964484947358,0.6721944471380479,1.1599369599211848,LH,s2,240
16,22.5,-5.378542895080682,8.657381096993847,0.47694535299205126,0.7102355269175058,LH,s3,240
16,22.5,-0.40419297818714056,9.053354342699928,0.7918936749950157,1.4597932891556065,LH,s4,240
16,22.5,-1.9375270752145186,9.353379000911593,0.696098333989306,1.4496389709117825,LH,s5,240
16,22.5,-1.5643262923405414,9.25017087139527,0.5487558897611465,0.9602207718188872,LH,s6,240
0,22.5,0.7045950494247638,2.5521425310947916,0.22079705788276147,0.3506986539062935,LL,s1,240
0,22.5,0.30459933534864775,3.4376230869543476,0.2596403641880696,0.44906026206319516,LL,s2,240
0,22.5,-0.9835819124160396,4.629876626206986,0.43967502902216204,0.7497994511747081,LL,s3,240
0,22.5,0.4170588485052874,6.275983690085806,0.4110160583765606,0.713768615819413,LL,s4,240
0,22.5,1.635884797618729,7.2857618421499515,0.549760944964468,0.9539518443581416,LL,s5,240
0,22.5,0.1585313546532612,6.836943928538157,0.4732014970181018,0.7889537955200512,LL,s6,240
9,67.5,0.7252229902418383,6.946423666323838,0.5107181145166576,0.8555489660211453,HH,s1,240
9,67.5,-0.04847885007968999,6.496591281911243,0.4250273146342861,0.7952988264372716,HH,s2,240
9,67.5,-0.23760913022678679,12.07372129621034,0.6944761037630713,1.6495031514358567,HH,s3,240
9,67.5,1.1520681949030571,8.500795251343302,0.5163122901528296,0.8360499493055871,HH,s4,240
9,67.5,-0.16922540089003232,9.437251585079718,0.8891878230977882,1.8404427884870045,HH,s5,240
9,67.5,1.1184210630688245,11.768841263932913,0.9741535524948715,2.03351843084079,HH,s6,240
17,67.5,-1.4353229217976795,5.037180825017642,0.4718370410156491,0.9080630581717163,LH,s1,240
17,67.5,5.539717145617787,4.2851986255717005,0.35138960672868913,0.33616931752100127,LH,s2,240
17,67.5,1.260261034686845,11.15215172298843,0.7166748141512401,1.360381607169118,LH,s3,240
17,67.5,-3.1338049305973334,7.865532673789144,0.4181623157430454,0.6731326853799565,LH,s4,240
17,67.5,-3.840065996049235,7.489983897764548,0.6590982118645955,1.0512937392327142,LH,s5,240
17,67.5,-1.0916135526740824,8.905708274446074,1.071609153308386,1.71327643921699,LH,s6,240
1,67.5,-0.18573331925055986,3.2467945317647047,0.1647838996508241,0.26147582914932505,LL,s1,240
1,67.5,0.18569854826112953,6.410710248024843,0.28807511962138177,0.5415512144434151,LL,s2,240
1,67.5,-0.6242252274380891,5.0667989601357215,0.33379602081138665,0.5514787710662972,LL,s3,240
1,67.5,0.2864310769088715,4.209439472936669,0.2730478708164495,0.44344555234207506,LL,s4,240
1,67.5,-0.6930670952237812,4.883414980902066,0.40640080460541383,0.6617896102330179,LL,s5,240
1,67.5,-0.5271508838283486,9.241518166733297,0.6421414068276559,1.212082105282151,LL,s6,240
10,112.5,0.5453172120275771,7.074807024228704,0.5327886758023724,0.9493265614735139,HH,s1,240
10,112.5,1.6290609299649803,8.926823125612254,0.5503818397680242,1.1114596027720154,HH,s2,240
10,112.5,-0.9389506739585758,7.19443127564686,0.6428521032170201,1.106936612072928,HH,s3,240
10,112.5,-0.5984169578532126,7.534011679677715,0.5084754109431626,0.9445284327783514,HH,s4,240
10,112.5,0.2431539111837769,9.435385902314685,0.6806493816049308,1.3416511061067795,HH,s5,240
10,112.5,-0.8491342384620303,16.743715539482654,1.4774503453541459,3.460507598014063,HH,s6,240
18,112.5,0.12048821983244298,1.758139217872924,0.19600258320792385,0.3507602184449461,LH,s1,240
18,112.5,6.137376894560963,7.188913486883441,0.4390958109339359,0.5842215848587375,LH,s2,240
18,112.5,0.06146038117951055,7.575491592137381,0.44190327145468666,0.7529510079279722,LH,s3,240
18,112.5,-1.884651330006784,3.6556922674999024,0.3269897086789731,0.4933862532213844,LH,s4,240
18,112.5,0.2099447474768938,7.730935946703565,0.47987657800257305,0.9335311038462335,LH,s5,240
18,112.5,2.8227955092422268,9.772647281241873,0.7304465664840744,1.2833896491859318,LH,s6,240
2,112.5,0.04552567010634844,1.1407851238639977,0.07452662841151234,0.10981611791908885,LL,s1,240
2,112.5,0.15071631917989312,3.414384114411125,0.25845071959699134,0.42813849898253015,LL,s2,240
2,112.5,-0.24574371546196244,2.253893886505695,0.17170635822989216,0.31116628888445885,LL,s3,240
2,112.5,0.013155582073109002,5.7890631076003825,0.44619568819305755,0.832298187042765,LL,s4,240
2,112.5,0.43850498048449216,3.7077721228046796,0.2698400037431419,0.4534864062979177,LL,s5,240
2,112.5,-0.18718285580127073,6.290529062781988,0.46665002488011925,0.7315052140854875,LL,s6,240
11,157.5,-0.4867643791582305,6.4688816070237785,0.43872701509710743,0.628404423938009,HH,s1,240
11,157.5,-1.069114987154462,10.00613194524278,0.6744360025839369,1.4622895952194495,HH,s2,240
11,157.5,1.2626958817029341,16.62868483829479,1.3365945928964154,3.279140596227372,HH,s3,240
11,157.5,1.4413215074542751,13.97693516439578,0.8380582582640304,1.8756272761285413,HH,s4,240
11,157.5,0.24726617612966129,10.276154556659726,0.804890841194488,1.5569801668177228,HH,s5,240
11,157.5,-1.8481927316797284,10.447659203680256,0.7403902436021178,1.6600435573359624,HH,s6,240
19,157.5,0.12344177229237838,5.5192784048260926,0.30240055696976215,0.5856019485675221,LH,s1,240
19,157.5,-1.6910435992471815,5.868868271725691,0.6274368184022979,1.2118509432518534,LH,s2,240
19,157.5,3.102293430144059,11.613355193228768,0.7969961461017009,1.361005807483886,LH,s3,240
19,157.5,2.954439221255813,9.200684511379789,0.6652078108056299,1.000777033410834,LH,s4,240
19,157.5,1.021870176280486,6.952906924289598,0.7069779148105464,1.4319665328977385,LH,s5,240
19,157.5,-2.096859390589148,6.505757026309547,0.5764120682217957,0.9770602415965471,LH,s6,240
3,157.5,0.3252021433285121,3.9688643593597415,0.1930282214207507,0.29677647820875,LL,s1,240
3,157.5,-0.1774070767611772,3.193802442947101,0.32275259843054077,0.5231637064502609,LL,s2,240
3,157.5,-0.5988545132140345,5.216805578666347,0.5164435590935533,0.897152243722888,LL,s3,240
3,157.5,-0.6386491894738905,8.561367248707885,0.34470704484861764,0.7516331778837916,LL,s4,240
3,157.5,0.3781722629464417,7.390340493348528,0.37737542631559196,0.7935278024452704,LL,s5,240
3,157.5,-0.06567859084820549,10.533776542896831,0.6879704763673208,1.6066887707269533,LL,s6,240
12,202.5,-0.33631864406503603,6.526828780766596,0.35075590804794754,0.5943948495979987,HH,s1,240
12,202.5,0.7609220640477306,5.517638496315605,0.42615449105572883,0.7121093235051558,HH,s2,240
12,202.5,-0.2248716052174731,14.728102577124856,1.1042599850292745,2.509183461370087,HH,s3,240
12,202.5,0.7989143416571356,9.600209338851053,0.5276518093221623,1.3104347328203616,HH,s4,240
12,202.5,1.021008966657424,10.131142795270351,0.6755737617294748,1.234522724451407,HH,s5,240
12,202.5,0.28629008916881016,15.265462908422784,0.9466208113351622,2.527083645597307,HH,s6,240
20,202.5,1.20079233231841,4.624940440119493,0.3336207893802774,0.6014771621568662,LH,s1,240
20,202.5,7.956574996264596,6.676534792255318,0.5416452448649215,0.6363308650338564,LH,s2,240
20,202.5,10.691645654835925,11.060230422014966,0.9037700959937934,1.0665683483705517,LH,s3,240
20,202.5,3.712572401480153,5.729665187401176,0.2922024768071733,0.3899880892490166,LH,s4,240
20,202.5,5.088307484394586,9.326060314528572,0.8963494897901132,1.5272459243775822,LH,s5,240
20,202.5,0.9581547197248123,7.448480591741223,0.47761373788592065,0.7421182603628618,LH,s6,240
4,202.5,0.11162173269514479,1.8792158670030625,0.11355596885937394,0.19006578951543418,LL,s1,240
4,202.5,0.034825975302872576,2.499895344411699,0.15769592611003266,0.242995607174047,LL,s2,240
4,202.5,0.6083661936743516,7.146820810078523,0.5346998644706537,1.1837499391692452,LL,s3,240
4,202.5,-1.0298250534134783,7.122723947377205,0.5005508769298582,0.9386085874627778,LL,s4,240
4,202.5,0.21794738438161596,7.192611079373196,0.43744858630869315,0.8778341225123848,LL,s5,240
4,202.5,0.010432445055702566,6.064525498862273,0.2849275736370035,0.5068394156513788,LL,s6,240
13,247.5,0.015319670902528634,7.189138377428749,0.6216941016304112,1.060938666659937,HH,s1,240
13,247.5,-1.0301215501980374,5.086410888142947,0.5080164842758895,0.8229693469510495,HH,s2,240
13,247.5,-0.3689918051932713,10.737938961523895,0.6444603384616241,1.3825992966756329,HH,s3,240
13,247.5,-0.2568322397850168,8.041744208533673,0.5968054577046257,1.0810299982758091,HH,s4,240
13,247.5,-0.48923035328652625,8.143206502451315,0.6818992113625898,1.350182850942975,HH,s5,240
13,247.5,1.195879331709801,12.068074010437858,0.7613903235811258,1.7340449645636051,HH,s6,240
21,247.5,3.4205893475167373,3.8323265367667307,0.20830466634266367,0.2575083821934816,LH,s1,240
21,247.5,2.566295789590615,5.618638780004042,0.34192322584396234,0.5120770675087043,LH,s2,240
21,247.5,6.335211238133595,13.42773571399575,0.8300990918187616,1.4346707893542194,LH,s3,240
21,247.5,2.670950937735622,5.729368406004532,0.426664077651543,0.6226948035004075,LH,s4,240
21,247.5,4.126036365468736,6.236664730973586,0.5360015706618204,0.8263574540118397,LH,s5,240
21,247.5,-0.23905607127406936,8.435438840175912,0.524005629494909,0.9344573557577396,LH,s6,240
5,247.5,-0.16951577469282328,1.336178696895683,0.07151499661226952,0.11112820770722459,LL,s1,240
5,247.5,-0.21994250038158875,2.240965625633753,0.11213734505472808,0.17900417502287402,LL,s2,240
5,247.5,0.17414410498165736,4.509199688948722,0.4623023230054092,0.7295917483043405,LL,s3,240
5,247.5,-0.7133005047685749,6.97677980809529,0.5315105011442576,0.8806151803454602,LL,s4,240
